Title,Year,Rating,Votes,Synopsis,Runtime
The Rain Killer,1990,4.7,553.0,"Together, a weary cop and an all-business FBI agent team up to catch the latest homicidal maniac: the Rain Killer. Just when they think that all the clues have been washed away, they find the one last clue-the one that's been in plain sight.",1h 34m
The Final Sanction,1990,4.3,214.0,"After war breaks out between the U.S. and Russia, the two countries decide to settle the conflict by putting its two best warriors into an arena in a fight to the death.",1h 25m
L'Autrichienne,1990,6.1,132.0,Last days of queen Marie Antoinette stunningly portrayed by a director who's clearly done a massive historical research. An accurate plot and a very moving rendering.,1h 38m
Césio 137 - O Pesadelo de Goiânia,1990,6.5,175.0,"The story behind one of the worst radiological disasters to ever happen in Brazil, in 1987.",1h 55m
Kahit konting pagtingin,1990,7.0,36.0,A mature bodyguard and his young heiress ward overcome their differences and surprisingly learn to love each other.,2h 11m
Por tu maldito amor,1990,7.1,72.0,"Un hombre huye de la justicia después de matar al esposo de su ex novia y encuentra trabajo en una hacienda. Eventualmente se enamora de dos hermanas, las dueñas del lugar, provocando una gran tragedia.",1h 36m
Le radeau de la Méduse,1990,5.8,238.0,"Jean Yanne, Daniel Mesguich, Claude Jade: A la recherche de la fortune et du paradis ils ne connurent que l'enfer.",2h 10m
Ha-Derech L'Ein Harod,1990,5.5,41.0,"In a dystopian future, the Israeli army keeps the population in check because of water scarcity but Saul Jordan, an activist journalist, finds out that it is an invention and tries with the help of a Palestinian tramp to spread the news from a small radio station improvised in the desert, inciting fellow countrymen to the resistance and the struggle for freedom. Wanted throughout the nation, the two during an escape take hostage to an army colonel and the group of his collaborators, including the sexy Liora (Alessandra Mussolini).",1h 30m
Sinners,1990,3.4,80.0,"Love is in the air in a small Italian neighborhood of New York. But, is it safe to cheat on your wife, with your cousin, whose brother owns a shotgun and whose hobby is blowing up cars?",1h 27m
Podzemelye vedm,1990,5.6,287.0,"An interstellar expedition is sent to study a strange planet. Despite the fact that creatures from various Earth time periods inhabit the world, the natives possess metal swords, even though they should have no knowledge of such weaponry.",1h 25m
There Were Days... and Moons,1990,6.0,609.0,"How can moon and time affect human mood and fate? In the manner of a Greek tragedy , this movie shows how the chaos of life ineluctably propels its characters towards violence and alienation.",1h 57m
Little Vegas,1990,4.4,145.0,"A cast of misfits, refugees from checkered pasts, alcoholic binges and unrequited loves, each seek something different from this scorched wasteland and each other.",1h 31m
Coldfire,1990,3.9,219.0,"A veteran police sergeant and a pair of rookie cops discover that a new, popular drug on the streets of Los Angeles is the foundation of a sadistic conspiracy to destroy America.",1h 42m
Faith,1990,5.4,82.0,"Faith is a young dancer whose parents are killed in a plane crash. Dancing is her refuge, but the streets of Los Angeles can be dangerous for a vulnerable young woman on her own.",1h 41m
Dirty Affair,1990,6.7,49.0,A smitten young man helps the mistress of a corrupt politician to fight back and reveal the truth about the politician and his government.,2h
