Title,Year,Rating,Votes,Synopsis,Runtime
Dune: Part One,2021,8.0,939000.0,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",2h 35m
America Latina,2021,5.9,2100.0,"Massimo is a dentist from Latina, happily married with two daughters. One day he goes down to the cellar for housework and finds a girl tied up and gagged, asking for help.",1h 30m
Vellam,2021,7.6,2100.0,"An alcoholic is left stranded by society, friends and family until he successfully completes his de-addiction. Will they accept him when he is clean and sober?",2h 34m
Enemy,2021,6.1,5200.0,It's the story of two childhood friends and their escalating competitive nature. To what extent are they ready to go?,2h 39m
Dashcam,2021,4.8,758.0,"A psychological thriller following Jake, a reclusive news editor, who is inadvertently sent secret dashcam video evidence that points to a possible conspiracy and cover-up involving high-ranking government officials.",1h 22m
Undercover,2021,5.9,860.0,"French customs seize seven tonnes of cannabis in the heart of the capital. A former narcotics infiltrator claims to be able to demonstrate the existence of state trafficking led by Jacques Billard, a high-ranking French police officer.",2h 1m
A Man Named Scott,2021,7.7,1800.0,Follows the music career of Kid Cudi from the release of 'Day n Nite' in 2008 through present day recordings. Friends and producers illustrate his story in conjunction with concert footage and never before seen behind-the-scenes.,1h 35m
Holes in the Sky: The Sean Miller Story,2021,4.6,4900.0,In July of 2013 Sean Miller disappeared for four days. Seven years later a documentary film crew found out why.,1h 36m
Miami Heat,2021,3.5,1200.0,"A retired Spetsnaz agent relies on his old skills to save his beloved daughter, who has been kidnapped while working in South Beach.",1h 27m
Friendship,2021,5.0,957.0,"Set in college, Friendship is an emotional saga where two friends go out of their way to help a girl get justice, who is sexually abused and killed by goons. Will they succeed? After all, justice delayed is justice denied.",1h 53m
Tabara,2021,2.7,1000.0,A group of teenagers go to a summer camp to get rid of the lack of technology. Various character stories happen until teenagers realize that summer camp is not what it seems. But it all ends well.,1h 21m
Nr. 10,2021,6.5,1300.0,"Found in the German woods as a four-year-old boy, Gunter grows up in a foster family. Four decades later he leads a normal life. When a man on a bridge whispers a single word in his ear, he starts to wonder about his origins.",1h 40m
Sagasu,2021,6.8,1100.0,"Depressed and in debt, Satoshi tells his young daughter that he's going to find an infamous serial killer and collect a reward. However, when Satoshi disappears without a trace, she starts to fear the worse and begins searching for him.",2h 4m
The First Wave,2021,7.1,1100.0,"A documentary following nurses, doctors, and administrators in a New York City hospital as they respond to the victims from the COVID-19 pandemic.",1h 33m
15 Minutes of Shame,2021,6.8,1000.0,A look at public shaming in modern day culture.,1h 25m
